Day,Room,Free_Slots
Sunday,Room 2A03,"""01:00 PM-01:50 PM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Monday,Room 2A03,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Tuesday,Room 2A03,"""08:00 AM-08:50 AM, 08:50 AM-09:40 AM, 09:40 AM-10:30 AM, 02:40 PM-03:30 PM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Wednesday,Room 2A03,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Thursday,Room 2A03,"""10:30 AM-11:20 AM, 05:10 PM-06:00 PM"""
Sunday,Room 2A04,"""08:00 AM-08:50 AM, 08:50 AM-09:40 AM, 09:40 AM-10:30 AM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Monday,Room 2A04,"""08:00 AM-08:50 AM, 08:50 AM-09:40 AM, 09:40 AM-10:30 AM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Tuesday,Room 2A04,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Wednesday,Room 2A04,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Thursday,Room 2A04,"""02:40 PM-03:30 PM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Sunday,Room 2A05,"""08:00 AM-08:50 AM, 08:50 AM-09:40 AM, 09:40 AM-10:30 AM, 10:30 AM-11:20 AM, 11:20 AM-12:10 PM, 12:10 PM-01:00 PM, 01:00 PM-01:50 PM, 01:50 PM-02:40 PM, 02:40 PM-03:30 PM"""
Monday,Room 2A05,"""03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
Tuesday,Room 2A05,"""01:00 PM-01:50 PM, 01:50 PM-02:40 PM, 02:40 PM-03:30 PM"""
Wednesday,Room 2A05,"""08:00 AM-08:50 AM, 08:50 AM-09:40 AM, 09:40 AM-10:30 AM, 03:30 PM-04:20 PM, 04:20 PM-05:10 PM, 05:10 PM-06:00 PM"""
